Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
1,2018,11.51,2,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","27,339",4.6,Rachel Hollis
2,2018,5.28,3,The Wonky Donkey,"74,804",4.8,Craig Smith
3,2018,9.29,4,Fire and Fury: Inside the Trump White House,"17,295",4.2,Michael Wolff
4,2018,27.59,5,Fear: Trump in the White House,"10,323",4.5,Bob Woodward
5,2018,16.99,6,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)","15,018",4.9,Jill Twiss
6,2018,18.14,7,12 Rules for Life: An Antidote to Chaos,"58,204",4.8,Jordan B. Peterson
7,2018,16.59,8,Magnolia Table,"32,359",4.8,Joanna Gaines
8,2018,13.49,9,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,"9,936",4.6,The Staff of The Late Show with Stephen Colbert
9,2018,14.3,10,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"80,456",4.6,Mark Manson
10,2018,5.84,11,"A Higher Loyalty: Truth, Lies, and Leadership","8,328",4.7,James Comey
11,2018,6.98,12,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,"28,746",4.3,Amy Ramos
12,2018,11.63,13,Diary of a Wimpy Kid #13: Meltdown,"20,312",4.8,Jeff Kinney
13,2018,7.57,14,The 5 Love Languages: The Secret to Love that Lasts,"69,992",4.8,Gary Chapman
14,2018,4.78,15,First 100 Words: A Padded Board Book,"35,271",4.7,Roger Priddy
15,2018,9.17,16,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),"15,763",4.9,Dav Pilkey
16,2018,16.0,17,Educated: A Memoir,"69,531",4.7,Tara Westover
17,2018,8.45,18,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"35,432",4.7,Jen Sincero
18,2018,13.79,19,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Dr. Steven R Gundry  MD,4.4,
19,2018,6.9,20,Giraffes Can't Dance,"28,456",4.8,Giles Andreae
20,2018,22.95,21,D&D Player’s Handbook (Dungeons & Dragons Core Rulebook),Dungeons & Dragons,4.9,
21,2018,20.79,22,Homebody: A Guide to Creating Spaces You Never Want to Leave,"10,981",4.8,Joanna Gaines
22,2018,4.93,23,The Very Hungry Caterpillar,"54,127",4.9,Eric Carle
23,2018,7.89,24,Crazy Rich Asians (Crazy Rich Asians Trilogy),"11,413",4.4,Kevin Kwan
24,2018,10.4,25,The Hate U Give,"25,172",4.8,Angie Thomas
25,2018,8.97,26,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,"12,582",4.4,Laurel Randolph
